,structure,Density
976,RSM3621,1.25209
977,RSM1623,1.198
978,RSM1864,1.72792
979,RSM2381,0.928275
980,RSM4473,0.356687
981,RSM2417,1.82088
982,RSM4564,1.01258
983,RSM1715,1.22313
984,RSM1002,1.20664
985,RSM1415,0.786295
986,RSM2931,1.33395
987,RSM3753,1.22962
988,RSM2146,0.535483
989,RSM2332,1.49157
990,RSM2896,1.18972
991,RSM0625,1.4458
992,RSM0295,1.45231
993,RSM1803,2.31078
994,RSM4020,1.4546
995,RSM0320,1.64428
996,RSM0746,1.55452
997,RSM4599,0.940015
998,RSM3789,1.20481
999,RSM0047,1.06941
1000,RSM4299,1.47858
1001,RSM0476,2.18632
1002,RSM1112,1.24955
1003,RSM3046,1.49633
1004,RSM3200,1.62826
1005,RSM0812,1.52905
1006,RSM4283,0.821139
1007,RSM3174,0.774733
1008,RSM4579,0.500626
1009,RSM1620,1.40251
1010,RSM4172,0.601935
1011,RSM2530,1.40638
1012,RSM2420,1.70393
1013,RSM2725,1.38966
1014,RSM4495,0.619321
1015,RSM0728,1.31887
1016,RSM1508,1.06351
1017,RSM0934,1.04852
1018,RSM3713,0.924619
1019,RSM3436,0.60274
1020,RSM1194,1.39607
1021,RSM4377,1.24916
1022,RSM1462,1.62932
1023,RSM3777,0.839439
1024,RSM2276,1.11332
1025,RSM0244,1.88574
1026,RSM0645,2.59612
1027,RSM1165,0.817779
1028,RSM3204,0.95401
1029,RSM2325,0.537916
1030,RSM0202,1.45737
1031,RSM2836,1.31438
1032,RSM3055,1.30028
1033,RSM1198,1.78537
1034,RSM3305,1.16373
1035,RSM2068,1.07063
1036,RSM2075,1.50582
1037,RSM3066,1.29144
1038,RSM0567,1.42223
1039,RSM0953,0.984903
1040,RSM0696,0.721732
1041,RSM0537,0.998811
1042,RSM1007,1.16729
1043,RSM0179,1.51301
1044,RSM4408,0.80496
1045,RSM2615,1.31628
1046,RSM1865,1.53774
1047,RSM1025,0.59473
1048,RSM2036,1.04862
1049,RSM0008,1.31879
1050,RSM4489,1.06609
1051,RSM0268,1.66839
1052,RSM0662,1.19627
1053,RSM1951,0.995254
1054,RSM0547,2.21866
1055,RSM1325,1.50688
1056,RSM2033,0.980107
1057,RSM0372,1.26014
1058,RSM4033,1.12684
1059,RSM2592,1.53961
1060,RSM0558,0.934977
1061,RSM3327,1.06079
1062,RSM1480,1.18357
1063,RSM0111,2.25657
1064,RSM0420,1.36817
1065,RSM0718,1.6526
1066,RSM2773,0.753236
1067,RSM4094,1.25127
